question,answer,__index_level_0__
선형 맵핑을 정의하시오.,"선형 사상은 두 벡터 공간 간의 함수로, 벡터 덧셈과 스칼라 곱셈을 보존합니다.",639
클래스별 정밀도를 계산할 때 고려되는 고유한 값은 무엇인가요?,수업별 정밀도를 계산할 때 고려되는 고유 값은 데이터 세트의 실제 값에 존재하는 클래스 레이블입니다【39†source】.,274
기계 학습에서 '원-핫 인코딩'이란 무엇인가요?,"머신 러닝에서 원-핫 인코딩은 범주형 데이터 변수를 변환하는 과정으로, 이를 통해 데이터가 머신 러닝 알고리즘에 제공되어 예측 정확성을 향상시킬 수 있습니다.",479
로지스틱 회귀에서 손실은 어떻게 최소화됩니까?,"로지스틱 회귀에서 손실은 기울기 하강법을 사용하여 최소화되며, 예측과 현실 간의 불일치인 데이터 손실과 정규화 손실 간의 균형을 맞춥니다.",594
행렬이 직교하다는 것은 무슨 뜻인가요?,행렬이 직교적이려면 그 전치 행렬이 자기 자신의 역행렬이기도 해야 합니다.,691
AI와 관련된 미래의 도전 과제는 무엇인가요?,"과제에는 AI 편향 문제 해결, AI 위험과 이익에 대한 의견 불일치, 그리고 AI가 인간의 목적과 일에 미치는 영향이 포함됩니다.",613
회귀가 머신러닝의 분류 설정에서 사용될 수 있나요?,가끔 회귀는 평가에 사용되는 지표에 따라 분류 설정에서 사용될 수 있습니다.,186
기계 학습에서 분류란 무엇인가요?,"분류는 데이터 포인트에 대한 이산 레이블을 예측하는 것으로, 예를 들어 이메일이 스팸인지 아닌지를 결정하는 것을 포함합니다.",630
가우시안 분포는 기계 학습에서 어떻게 사용되나요?,"가우시안 분포는 기계 학습에서 실수에 대한 분포를 모델링하는 데 사용됩니다. 특히 분포의 정확한 형태가 알려져 있지 않을 때, 정규 분포는 비정보적인 사전으로 역할을 합니다【25†source】.",83
딥 러닝 모델에서 객체 인식은 어떻게 이루어지나요?,객체 인식은 이미지에 포함된 객체 부분에 대한 설명을 사용하여 달성됩니다. 이 설명은 세 번째 및 더 깊은 은닉층에 의해 형성되어 이미지에 존재하는 객체를 인식하는 데 사용됩니다.,154
오토인코더란 무엇인가요?,"오토인코더는 효율적인 인코딩을 배우기 위해 사용되는 인공 신경망의 일종으로, 일반적으로 차원 축소를 목적으로 합니다.",290
'원-핫 인코딩'이란 머신러닝에서 무엇인가요?,"기계 학습에서 원-핫 인코딩은 범주형 변수를 기계 학습 알고리즘에 제공할 수 있는 형태로 변환하는 과정으로, 예측을 더 잘 수행할 수 있도록 돕습니다.",374
AI에서 '지능 폭발'의 개념은 무엇인가요?,"지능 폭발이란 초지능 기계가 더 나은 기계들을 설계할 수 있다는 아이디어를 의미하며, 이는 인공지능의 급속한 발전으로 이어질 수 있습니다.",572
딥 러닝은 인지 작업 이해에 어떻게 기여합니까?,딥 러닝 모델은 여러 추상화 수준을 통해 고급 추론 및 패턴 인식을 요구하는 인지 작업에 대한 통찰을 제공합니다.,308
기계 학습에서 'ROC-AUC'란 무엇인가요?,"기계 학습에서 ROC-AUC는 수신자 조작 특성(Receiver Operating Characteristic) - 곡선 아래 면적(Area Under Curve)을 의미하며, 이진 분류 모델의 성능을 평가하는 데 사용되는 지표입니다.",395
AAAMLP에서 설명된 머신러닝 프로젝트의 맥락에서 config.py 파일의 목적은 무엇인가요?,config.py 파일은 훈련 파일 및 모델 출력 디렉토리와 같은 프로젝트 특정 구성 요소를 정의하는 중앙 집중화된 위치 역할을 하여 이러한 요소들을 훈련 스크립트에 하드코딩하는 것을 피할 수 있도록 합니다.,245
대칭 행렬이란 무엇인가요?,대칭 행렬은 전치행렬과 같은 제곱 행렬입니다.,648
선형 종속성의 개념은 무엇인가요?,"선형종속성(linear dependence)은 벡터 공간에서 한 집합의 벡터 중 하나가 다른 벡터들의 선형 결합으로 정의될 수 있는 상황을 의미합니다. 만약 집합의 어떤 벡터도 이런 방식으로 표현될 수 없다면, 이 벡터들은 선형 독립(linearly independent)입니다.",705
기계 학습이 중요한 이유는 무엇인가요?,"기계 학습은 우리의 미래를 형성하는 데 중요한 역할을 하며, 빠른 발전이 기술을 점점 더 마법처럼 느끼게 합니다.",559
행렬 곱셈의 전치 행렬에 대한 간단한 형태는 무엇인가요?,행렬 곱 AB의 전치 행렬은 간단한 형태로 주어진다: (AB) 전치 = B 전치 곱 A 전치.,62
오토인코더에서 인코딩 함수의 역할은 무엇인가요?,오토인코더의 인코딩 함수는 입력 데이터를 다른 표현으로 변환합니다.,176
신경망에서 '배치 정규화'란 무엇인가요?,"신경망에서 배치 정규화는 신경망의 어떤 레이어에든 평균이 0이고 분산이 1인 입력을 제공하는 기법으로, 이는 훈련을 안정화하고 속도를 높이는 데 도움을 줍니다.",457
저자가 Python 스크립트를 사용하는 것을 선호하는 작업은 어떤 것인가요?,책의 대부분의 작업에서 저자는 Python 스크립트를 사용하는 것을 선호합니다.,18
베르누이 분포란 무엇인가요?,베르누이 분포는 변수의 값이 1이 될 확률을 나타내는 파라미터 φ에 의해 제어되는 단일 이진 확률 변수에 대한 분포입니다【25†source】.,72
머신러닝에서 '손실 함수'란 무엇인가요?,"기계 학습에서 손실 함수는 특정 알고리즘이 주어진 데이터를 얼마나 잘 모델링하는지를 평가하는 방법입니다. 예측이 실제 결과와 벗어날 경우, 손실 함수는 더 높은 값을 출력합니다.",460
k-평균 클러스터링에서 몇 개의 클러스터를 선택해야 하나요?,"k-평균 군집화에서 클러스터의 수에 대한 정답은 없으며, 교차 검증을 통해 찾아야 합니다.",211
conda 환경에서 패키지를 설치하는 두 가지 방법은 무엇인가요?,conda 환경에 패키지를 설치하는 두 가지 방법은 conda 저장소에서 설치하는 것과 conda 또는 pip를 사용하여 공식 PyPi 저장소에서 설치하는 것입니다.,229
벡터 공간의 정의는 무엇인가요?,"벡터 공간은 두 가지 연산이 포함된 집합 V로, 이 두 연산은 여덟 가지 공리를 만족해야 합니다. 이들 연산은 벡터 덧셈과 스칼라 곱셈이며, 공리에는 덧셈에 대한 결합법칙, 교환법칙, 항등원, 역원이 포함되고, 스칼라 곱셈에 대해서는 호환성, 항등원, 분배법칙이 포함됩니다.",704
모델의 표현이 입력 내용과 관련 없는 상태 정보를 저장할 수 있는 이유는 무엇인가요?,"모델의 표현은 입력 내용과 관련이 없는 상태 정보를 저장하여 모델이 처리를 조직하는 데 도움을 줄 수 있으며, 이는 전통적인 컴퓨터 프로그램이 카운터나 포인터를 사용하는 방식과 유사합니다.",157
초기 AI의 한계는 무엇인가요?,"초기 AI는 인간에게는 쉬운 반면 공식적으로 설명하기 어려운 작업, 예를 들어 음성 인식이나 이미지에서 얼굴 인식 같은 작업에서 어려움을 겪었습니다.",284
행렬 전치의 개념을 설명하십시오.,"행렬의 전치는 대각선을 따라 뒤집어서 행을 열로, 열을 행으로 바꿔서 얻습니다.",685
MNIST 데이터셋의 이미지가 해당 레이블 없이 사용될 때 어떤 종류의 문제가 발생하나요?,상응하는 레이블이 없으면 MNIST 데이터셋은 비지도 학습 문제를 나타냅니다.,220
'm' 환경을 활성화하는 명령은 무엇인가요?,'m' 환경을 활성화하는 명령어는: conda activate ml입니다.,233
'nutri' 데이터 프레임의 특징 종류는 무엇인가요?,"'nutri' 데이터 프레임에서 특징 유형은 질적(성별, 상황, 지방), 이산적 정량(차, 커피), 그리고 연속적 정량(신장, 체중, 나이)을 포함합니다.",533
딥 러닝의 맥락에서 '변화의 요인'이란 무엇을 의미하나요?,'변동 요인'은 관찰된 데이터의 차이에 기여하는 별도의 영향 원인을 의미합니다.,175
"베이지안 학습에서 사전 확률(prior), 우도(likelihood), 후验 확률(posterior)의 중요성은 무엇인가요?","베이지안 학습에서 사전(prior)은 매개변수에 대한 사전 신념을 반영하고, 우도(likelihood)는 매개변수에 대한 추론에 사용되며, 사후(posterior)는 사전과 우도를 결합한 후의 추론에 사용됩니다.",749
"아이리스 데이터 세트란 무엇이며, 어떻게 구성되어 있습니까?","아이리스 데이터 세트는 3종의 아이리스 식물, 즉 세토사(setosa), 버시컬러(versicolor), 버지니카(virginica)의 50개 샘플에 대한 측정값(꽃받침 및 꽃잎의 길이와 너비)을 포함하고 있습니다. 이 데이터 세트는 학습 목적으로 R 프로그래밍에서 일반적으로 사용되는 데이터 세트입니다.",531
클래스 분포가 가중 정밀도에 어떤 영향을 미칩니까?,"클래스 배분은 샘플 수가 더 많은 클래스에 더 많은 가중치를 부여함으로써 가중 정밀도에 영향을 미치고, 최종 정밀도 점수에 각 클래스의 크기가 미치는 영향을 반영합니다【41†source】.",271
데이터 과학이나 머신 러닝 초보자들이 자주 사용하는 데이터셋은 무엇인가요?,초보자들이 주로 사용하는 공통 데이터셋에는 생존 예측을 목표로 하는 타이타닉 데이터셋과 꽃의 종 예측을 목표로 하는 아이리스 데이터셋이 포함됩니다.,195
선형 회귀의 맥락에서 경량 하강(gradient descent)이란 무엇인가요?,선형 회귀에서 경량 감소는 모델 파라미터를 조정하여 손실 함수의 최솟값을 찾기 위한 반복적인 과정입니다.,587
책 '딥 러닝'은 독자들을 위해 어떻게 구성되어 있나요?,"이 책은 세 부분으로 나누어져 있습니다: 기본 수학 도구와 머신 러닝 개념, 확립된 딥 러닝 알고리즘, 그리고 미래의 딥 러닝 연구를 위한 중요한 추측적 아이디어.",524
딥러닝에 대한 또 다른 관점은 표현 학습 이외에 무엇인가요?,딥러닝에 대한 또 다른 관점은 컴퓨터가 여러 단계의 컴퓨터 프로그램을 학습할 수 있게 한다는 점입니다. 여기서 각 레이어는 일련의 명령을 병렬로 실행한 후 컴퓨터의 메모리 상태를 나타냅니다.,174
머신러닝에서 회귀 분석을 위한 가장 많이 사용되는 평가 지표는 무엇인가요?,"회귀 분석에서 가장 일반적으로 사용되는 평가 지표는 평균 절대 오차(MAE), 평균 제곱 오차(MSE), 제곱근 평균 제곱 오차(RMSE), 제곱근 평균 제곱 로그 오차(RMSLE), 평균 백분율 오차(MPE), 평균 절대 백분율 오차(MAPE), 그리고 R2입니다.",340
t-SNE를 MNIST 데이터셋에 적용한 후 변환된 데이터 배열의 형태는 무엇인가요?,t-SNE를 MNIST 데이터셋에 적용한 후 변환된 데이터 배열의 형태는 3000x2입니다.,209
비감독 데이터셋이 전자상거래의 맥락에서 어떻게 나타날 수 있을까요?,"전자상거래의 비지도 데이터셋에는 웹사이트나 매장을 방문하는 고객에 대한 데이터가 포함될 수 있으며, 목표는 이러한 고객을 사전 정의된 레이블 없이 서로 다른 카테고리로 세분화하는 것입니다.",199
"'Deep Learning' 저자 Ian Goodfellow, Yoshua Bengio, Aaron Courville의 확률 및 정보 이론 장의 중심 전제는 무엇인가요?","중심 전제는 거의 모든 활동이 불확실성이 존재하는 상황에서 어떤 형태의 추론을 요구한다는 것이며, 이 장에서는 세 가지 불확실성의 원천인 시스템의 내재적 확률성, 불완전한 관측 가능성, 불완전한 모델링에 대해 논의합니다【21†출처】.",63
비지도 학습 문제의 예를 들어주세요.,"거래의 진위 여부에 대한 정보가 없을 때, 사기성 신용 카드 거래와 진짜 신용 카드 거래를 구별하는 것은 비지도 기계 학습 문제입니다.",190
기계 학습에서 '앙상블 평균'이란 무엇인가요?,"머신러닝에서 앙상블 평균화는 여러 모델을 독립적으로 훈련하고 그 예측을 평균내는 기법으로, 일반적으로 단일 모델보다 더 나은 성능을 제공합니다.",492
행렬의 계수는 어떻게 정의되나요?,행렬의 계수는 행렬의 선형적으로 독립인 열 벡터의 최대 수 또는 행렬의 선형적으로 독립인 행 벡터의 최대 수입니다.,706
MNIST 데이터셋의 t-SNE 변환은 어떻게 시각화되나요?,"MNIST 데이터셋의 t-SNE 변환 결과는 seaborn과 matplotlib을 사용하여 FacetGrid로 시각화되며, x 및 y 컴포넌트의 산점도를 매핑하고 범례를 추가합니다.",15
마이크로 정밀도와 매크로 정밀도의 차이는 무엇인가요?,"마이크로 정밀도는 모든 클래스에서의 전체 진양성(true positives)과 허위 양성(false positives)을 사용하여 단일 정밀도 점수를 계산하는 반면, 매크로 정밀도는 각 클래스를 개별적으로 정밀도를 계산한 후 이들을 평균합니다【39†source】【40†source】.",266
기계 학습에서 교차 검증이란 무엇인가요?,"교차 검증은 보이지 않는 데이터에 대해 일반화 가능한 좋은 머신러닝 모델을 구축하는 데 있어 가장 중요한 단계입니다. 이는 훈련 데이터를 여러 부분으로 나누고, 이 중 일부 부분에서 모델을 훈련시키고, 나머지 부분에서 테스트하는 과정을 포함합니다.",178
AAAMLP의 지침에 따라 메모리 문제를 일으키지 않으면서 어떻게 여러 개의 폴드를 실행할 수 있나요?,"여러 폴드를 동일한 스크립트에서 실행할 때 발생할 수 있는 메모리 문제를 피하기 위해, 각 폴드에 대해 다른 명령어를 사용하는 셸 스크립트를 생성하고 실행할 수 있습니다.",258
'Deep Learning' 책에서 텐서 내의 요소는 어떻게 식별되나요?,"텐서 내의 요소는 그 좌표로 식별됩니다. 예를 들어, 좌표 (i, j, k)에서 텐서 A의 요소는 Ai,j,k로 표기됩니다.",41
회귀 분석에서 연속 변수와 이산 변수의 차이는 무엇인가요?,"연속형 변수는 체중과 같이 가능한 값에 간격이 없지만, 이산형 변수는 자녀의 수처럼 특정 값만 가질 수 있습니다.",582
로지스틱 회귀에서 손실은 어떻게 최소화되나요?,"로지스틱 회귀에서 손실은 기울기 하강법을 사용하여 최소화되며, 이는 모델의 예측과 실제 간의 균형을 맞추고 정규화를 고려합니다.",632
'데이터 스크래핑'이란 머신 러닝을 위한 데이터 수집의 맥락에서 무엇인가요?,"기계 학습에서 데이터 스크래핑은 웹사이트 또는 기타 소스에서 데이터를 추출하는 것을 의미하며, 이 데이터는 이후 정리되고 처리되어 기계 학습 모델의 훈련에 사용될 수 있습니다.",499
지수 분포란 무엇인가요?,지수 분포는 사건이 지속적으로 독립적으로 일정한 평균 비율로 발생하는 과정에서 사건 사이의 시간을 모델링하는 데 사용되는 분포입니다【25†source】.,76
스펙트럼 정리는 무엇인가요?,스펙트럼 정리는 행렬이 고유벡터의 기저를 통해 대각화될 수 있는 조건을 설명합니다.,682
시스템 2.38의 행렬 열에서 비 단조적인 제로를 유도하는 방법의 예는 무엇인가요?,"시스템 2.38에서 행렬의 열을 이용하여 비자명한 영벡터를 유도하는 한 가지 예는 첫 번째 열에 8을 곱하고 두 번째 열에 2를 곱한 후 세 번째 열을 1배 빼는 것입니다. 이렇게 하면 영벡터가 생성됩니다. 이와 유사하게, 첫 번째 열에 -4를 곱하고 두 번째 열에 12를 곱한 후 네 번째 열을 1배 빼는 경우에도 영벡터가 생성됩니다. 이러한 조합은 임의의 실수 λ로 스케일링할 수 있어 무한한 수의 비자명한 영벡터를 생성할 수 있습니다.",99
표현 학습 알고리즘이 배울 수 있는 간단한 작업의 예는 무엇인가요?,간단한 작업의 예로는 화자의 음성에서 화자의 목소리 길이 추정과 같은 특징을 추출하여 화자를 식별하는 것입니다.,165
라이브러리 없이 가중 정밀도를 수동으로 계산하는 것이 가능합니까?,"네, scikit-learn과 같은 라이브러리 없이 수동으로 가중 정밀도를 계산하는 것이 가능합니다. 이는 책에서 Python 구현을 통해 설명되어 있습니다【41†source】.",279
행렬 열을 사용하여 비자명한 제로 버전을 생성하는 과정 뒤에 있는 사고 과정을 설명해 주실 수 있나요?,영 행렬 열을 사용하여 비자명한 제로 버전을 생성하는 사고 과정은 각 열에 해당하는 계수 집합을 식별하는 것과 관련이 있습니다. 이 계수들이 각각의 열에 곱해지고 합쳐지면 영 벡터가 생성됩니다. 이 과정은 미지수가 부족한 방정식 시스템의 완전한 해 집합을 찾는 데 매우 중요합니다. 이는 시스템의 자유도에 따라 여러 솔루션을 구축하는 방법을 결정하기 때문입니다.,97
베이지안 학습에서 우도의 역할은 무엇인가요?,베이지안 학습에서 우도는 파라미터에 대한 추론에 사용되는 조건부 확률 밀도 함수(pdf)입니다.,732
기계 학습에서 '훈련 세트'란 무엇인가요?,"기계 학습에서 훈련 세트는 모델을 훈련시키는 데 사용되는 데이터셋으로, 모델이 데이터의 패턴을 이해하고 학습하는 데 도움을 줍니다.",352
'머신 러닝'에서 '이상 탐지'란 무엇인가요?,"기계 학습에서 이상 탐지는 대다수 데이터와 크게 다른 드문 항목, 사건 또는 관찰을 식별하여 의문을 제기하는 것입니다.",432
지도 학습에서 두 가지 주요 작업은 무엇인가요?,감독 학습에서 두 가지 주요 작업은 회귀(연속 값을 예측하는 것)와 분류(불연속 레이블을 할당하는 것)입니다.,577
벡터 공간의 기저란 무엇인가요?,벡터 공간의 기초는 전체 공간을 span하는 선형 독립 벡터의 집합입니다.,640
데이터 과학에서 요약 테이블의 용도는 무엇인가요?,"요약 테이블은 대규모 데이터를 보다 관리하기 쉬운 형태로 압축하는 데 사용되며, 변수의 분포에 대한 통찰을 제공하고, 특히 질적 데이터에 유용합니다.",535
'애다부스트'란 머신러닝에서 무엇인가요?,AdaBoost(Adaptive Boosting의 약자)는 머신러닝에서 약한 학습자들을 결합하여 강한 학습자를 만들어 모델의 정확성을 향상시키는 앙상블 기법입니다.,434
머신러닝에서 '데이터 정규화'란 무엇인가요?,"기계 학습에서 데이터 정규화는 특성 집합의 값을 공통 스케일에 맞추는 과정으로, 값의 범위에서의 차이를 왜곡하지 않습니다.",371
기계 학습에서 '데이터 표준화'란 무엇인가요?,머신러닝에서 데이터 표준화는 특성의 스케일을 재조정하여 평균이 0이고 표준편차가 1이 되도록 하는 과정입니다.,372
MNIST 데이터셋은 어떤 종류의 기계 학습 문제를 나타냅니까?,MNIST 데이터셋은 지도 학습 문제를 나타냅니다.,217
감독된 문제는 무엇을 요구하나요?,감독된 문제는 우리가 값을 예측해야 함을 요구합니다.,3
매크로 정밀도의 계산이 가중 정밀도의 계산보다 더 복잡한가요?,"매크로 정밀도와 가중 정밀도의 계산 과정은 구조적으로 유사하지만, 가중 정밀도는 클래스의 크기에 따라 각 클래스의 정밀도에 가중치를 부여하여 클래스 분포를 고려합니다【39†source】【41†source】.",270
'확률적 경사 하강법'(SGD)은 머신러닝에서 무엇인가요?,"머신러닝에서 확률적 경사 하강법(Stochastic Gradient Descent, SGD)은 적절한 매끄러운 속성을 가진 목적 함수를 최적화하기 위한 반복적 방법으로, 특히 대규모 및 희소한 머신러닝 문제에 적합합니다.",384
"항등 행렬 In이 어떤 벡터 x와 곱해질 때, 어떤 작용을 하나요?","항등행렬 In은 벡터 x에 곱해도 변하지 않으며, 이는 Inx = x를 의미합니다.",50
로지스틱 회귀가 인공지능에서 중요한 이유는 무엇인가요?,"로지스틱 회귀는 간단한 머신러닝 알고리즘으로, 제왕절개를 추천하거나 스팸 이메일을 구분하는 등의 결정을 내릴 수 있습니다.",287
다변량 정규 분포에서 공분산 행렬은 무엇을 나타내나요?,"다변량 정규 분포에서 공분산 행렬은 랜덤 벡터의 각 요소 쌍 간의 공분산을 나타내며, 대각 요소는 각 요소의 분산을 제공합니다【25†출처】.",79
'나이브 베이즈'란 머신러닝에서 무엇인가요?,기계 학습에서 나이브 베이즈는 모든 특성 쌍 간의 독립성을 가정하여 베이즈 정리를 적용하는 분류 기법입니다.,366
OpenAI는 2017년에 어떤 중요한 이정을 달성했습니까?,"2017년, OpenAI는 자체 언어를 개발하고 Dota 2의 최상위 프로 선수들을 이긴 에이전트를 만들었습니다.",601
시스템의 2.38 식에서 세 번째와 네 번째 열을 첫 번째 두 열을 기준으로 표현할 때 결과는 무엇인가요?,"시스템의 세 번째 및 네 번째 열을 방정식 2.38의 첫 번째 두 열로 표현할 때, 결과는 세 번째와 네 번째 열에 각각 해당하는 첫 번째 두 열의 조합이 됩니다. 이는 세 번째와 네 번째 열이 첫 번째 두 열의 선형 조합으로 표현될 수 있음을 의미하며, 이는 자유도를 나타내는 스칼라를 도입하여 시스템에 대한 일반 해를 찾는 데 도움이 됩니다.",98
인공지능 초지능(ASI)의 개념은 어떻게 인식되고 있나요?,"ASI의 출현은 인류에게 가장 좋은 사건이거나 최악의 사건이 될 수 있으며, AI의 목표를 인간 친화적인 목표와 일치시키는 데 어려움을 초래할 수 있습니다.",574
책에서는 머신러닝 환경을 설정하기 위해 어떤 운영 체제와 Python 버전을 추천하나요?,이 책에서는 머신러닝 환경을 설정하기 위해 Ubuntu 18.04와 Python 3.7.6을 사용하는 것을 권장합니다.,221
행렬이 대각화 가능하다는 것은 무엇을 의미하나요?,행렬이 대각화 가능하다는 것은 그것이 대각 행렬과 가역 행렬들의 곱으로 표현될 수 있을 때를 의미합니다.,652
어떤 약어 표기법이 다른 행렬 A와의 덧셈 전에 매트릭스의 각 행에 복사된 b를 정의할 필요를 없애는 데 사용됩니까?,"단축 표기법 C = A + b가 사용되며, 여기서 벡터 b는 행렬 A의 각 행에 더해집니다. 이 과정은 브로드캐스팅(broadcasting)이라고 알려져 있습니다.",60
인공지능 일반(AGI)이란 무엇인가요?,"AGI는 인간이 수행할 수 있는 모든 지적 작업, 즉 학습, 의사결정 및 언어 소통을 포함하여 수행할 수 있는 AI입니다.",609
랭크-널리티 정리는 무엇인가요?,랭크-널리티 정리는 벡터 공간의 차원이 행렬의 랭크와 널리티의 합과 같다고 명시하고 있습니다.,644
오늘날 인공지능의 실제 응용 사례는 무엇인가요?,"AI 응용 프로그램에는 일상적인 노동 자동화, 음성이나 이미지 이해, 의학적 진단 수행, 기본 과학 연구 지원이 포함됩니다.",513
AAAMLP에서 언급된 대로 각 폴드마다 train.py에서 run 함수를 호출하는 것의 단점은 무엇인가요?,"같은 스크립트에서 각 폴드에 대해 run 함수를 여러 번 호출하면 메모리 사용량이 계속 증가할 수 있으며, 이는 프로그램이 크래시되는 원인이 될 수 있습니다.",248
기계 학습에서 '혼동 행렬'이란 무엇인가요?,기계 학습에서 혼동 행렬(confusion matrix)은 실제 값이 알려진 테스트 데이터 집합에 대한 분류 모델의 성능을 설명하는 데 사용되는 표입니다.,478
"방정식 2.38에서 2.42까지의 설명에 따르면, 다수의 해가 존재할 수 있는 시스템의 방정식은 어떻게 설명될 수 있나요?","방정식 시스템이 미결정적일 때, 예를 들어 시스템 2.38과 같은 경우에는 여러 해가 존재할 수 있습니다. 방정식에 비해 추가적인 미지수가 존재하면, 영 벡터로 이어지는 비자명한 열 조합을 구성할 수 있습니다. 이러한 조합은 임의의 스칼라로 곱해져 특정 해에 추가하더라도 방정식의 우변을 변화시키지 않는 무한한 해의 집합을 생성할 수 있습니다.",95
"고객 세분화란 무엇이며, 이는 비지도 학습과 어떻게 관련될 수 있습니까?","고객 세분화는 특정 데이터를 기반으로 고객을 다양한 카테고리로 군집화하는 작업으로, 비지도 학습의 응용으로 간주될 수 있습니다.",198
선형 변환은 어떻게 정의되나요?,선형 변환은 벡터 덧셈과 스칼라 곱셈의 연산을 보존하는 두 벡터 공간 간의 대응 관계입니다.,710
선형 회귀의 가정과 목표는 무엇인가요?,"선형 회귀는 입력과 출력 사이의 선형 관계를 가정하고, 예측 오류를 최소화하는 모델 매개변수를 학습하는 것을 목표로 합니다.",585
기계 학습에서 '확률적 경사 하강법' (SGD) 이란 무엇인가요?,기계 학습에서 확률적 경사 하강법(SGD)은 여러 모델을 훈련하는 데 사용되는 적절한 매끄러움 속성을 가진 목표 함수를 최적화하기 위한 반복적인 방법입니다.,456
자연어 처리에서 '텍스트 벡터화'란 무엇인가요?,"자연어 처리에서 텍스트 벡터화는 텍스트 데이터를 수치 형식으로 변환하는 과정으로, 이는 기계 학습 모델이 이해하고 처리하기 쉽게 만듭니다.",489
책 '딥 러닝'의 어떤 부분에 중점을 두고 있나요?,"1부에서는 기본적인 수학 도구와 머신러닝 개념을 소개하고, 2부에서는 확립된 딥러닝 알고리즘을 설명하며, 3부에서는 미래 연구에 중요한 사변적 아이디어에 대해 논의합니다.",296
저자가 언급한 선호하는 듀얼 부트 옵션은 무엇인가요?,작가는 우분투가 네이티브이기 때문에 이중 부팅을 선호합니다.,238
표현 학습이 기계 학습에서 중요한 이유는 무엇인가요?,표현 학습은 데이터의 최적 표현 방식을 자동으로 식별하는 과정을 자동화하기 때문에 중요합니다. 이는 효과적인 패턴 인식 및 예측에 핵심적입니다.,312
퍼셉트론과 ADALINE 모델의 중요성은 무엇인가요?,"퍼셉트론과 ADALINE은 데이터로부터 카테고리에 대한 가중치를 학습할 수 있는 초기 모델로, 현대 머신러닝 알고리즘의 발전에 영향을 미쳤습니다.",300
Kullback-Leibler 위험은 베이esian 학습에서 어떻게 사용됩니까?,쿨백-라이블러 위험은 베이지안 학습에서 제안된 근사치와 실제 미지의 함수 간의 차이를 측정하는 데 사용됩니다.,739
가우시안 분포가 응용에서 자주 선택되는 이유는 무엇인가요?,가우시안 분포는 많은 분포가 중심 극한 정리에 따라 정규분포에 가까운 경우가 많기 때문에 자주 선택됩니다. 또한 같은 분산을 가진 모든 분포 중에서 정규 분포는 실수에 대한 최대한의 불확실성을 나타냅니다【25†source】.,75
기계 학습에서 '그래디언트 부스팅'이란 무엇인가요?,"기계 학습에서 그래디언트 부스팅은 약한 예측 모델, 일반적으로 결정 트리의 앙상블 형태로 예측 모델을 생성하는 회귀 및 분류를 위한 기법입니다.",433
머신러닝에서 '서포트 벡터 머신' (SVM)이란 무엇인가요?,"기계 학습에서 서포트 벡터 머신(SVM)은 분류 및 회귀 분석에 사용되는 감독 학습 모델로, 고차원 공간에서의 효율성으로 잘 알려져 있습니다.",360
책에 언급된 비지도 데이터셋의 예시는 무엇인가요?,예제로는 신용 카드 사기 탐지 또는 이미지 군집화가 있습니다.,8
선형대수에서 랭크-널리티 정리는 무엇인가요?,"계급-영차 정리는 벡터 공간 V에서 벡터 공간 W로의 모든 선형 사상 Φ에 대해, Φ의 커널과 이미지의 차원의 합이 V의 차원과 같다고 말합니다.",719
문제를 감독 기계 학습 문제로 만드는 요소는 무엇인가요?,특정 특성이 주어졌을 때 값을 예측해야 하는 문제를 감독 학습 문제라고 합니다.,181
'자동 인코딩(autoencoding)'이란 기계 학습에서 무엇인가요?,"기계 학습에서 오토인코딩은 효율적인 코딩의 비지도 학습에 사용되는 알고리즘의 일종을 말하며, 주로 차원 축소와 특성 학습에 사용됩니다.",501
선형 사상에서 이미지와 핵의 개념은 무엇인가요?,"선형 맵핑의 이미지는 정의역에서 매핑될 수 있는 모든 벡터의 집합이며, 커널(또는 영공간)은 코도메인에서 영 벡터로 매핑되는 정의역의 모든 벡터의 집합입니다.",718
두 벡터 x와 y의 내적은 무엇인가요?,두 동일 차원의 벡터 x와 y 사이의 내적은 x의 전치 행렬과 y의 행렬 곱입니다.,46
기계 학습에서 편향-분산 트레이드오프란 무엇인가요?,편향-분산 트레이드오프는 효과적인 모델을 위해 과도한 단순화로 인한 오류(편향)와 훈련 데이터에 대한 민감성으로 인한 오류(분산) 간의 균형을 맞추는 것을 포함합니다.,589
딥러닝은 표현 학습의 어려움을 어떻게 해결하나요?,"딥 러닝은 더 단순한 표현으로 표현되는 표현을 도입하여, 단순한 것들로부터 복잡한 개념을 구성할 수 있게 합니다.",164
기계 학습에서 '데이터 인코딩'이란 무엇인가요?,기계 학습에서 데이터 인코딩은 범주형 데이터를 기계 학습 알고리즘이 사용할 수 있도록 숫자 형식으로 변환하는 것을 의미합니다.,485
머신러닝에서 '그래디언트 부스팅'은 무엇인가요?,"기계 학습에서 그래디언트 부스팅은 앙상블 기법으로, 각 새로운 모델이 이전 모델이 만든 오류를 수정하는 방식으로 모델을 순차적으로 구축하며, 일반적으로 의사결정 나무를 기본 학습기로 사용합니다.",475
기계 학습에서 과적합이란 무엇인가요?,"과적합은 모델이 훈련 데이터를 너무 잘 배우고 그 특이성까지 포함하여, 새로운 보지 못한 데이터에 일반화하는 데 실패하는 상황을 말합니다.",626
