Question,Answer
생산 규칙은 무엇으로 구성되어 있습니까?,IF(조건) 그리고 THEN(행동).
생산 규칙의 장점은 무엇인가요?,생산 규칙은 자연어로 표현됩니다. 생산 규칙은 자연어로 표현됩니다.
생산 규칙의 단점은 무엇인가요?,"""생산 규칙 시스템은 학습 능력이 전혀 없습니다."""
지식 기반 시스템이란 무엇인가요?,지식 기반 시스템(KBS)은 의사 결정을 지원하기 위해 인간 전문가의 지식을 포착하는 것을 목표로 하는 인공지능(AI)의 한 형태입니다.
의료 전문가 시스템이란 무엇인가요?,전문가 시스템은 특정 전문 분야의 지식을 표현하고 이를 기반으로 추론하여 문제를 해결하거나 조언을 제공하는 컴퓨터 프로그램입니다.
전문가 시스템의 일반적인 작업은 무엇인가요?,"""데이터 해석"""
복잡한 결정에는 무엇이 포함되나요?,복잡한 결정은 사실적 지식과 휴리스틱 지식의 복잡한 조합을 포함합니다.
전문가 시스템의 구조는 무엇을 반영하나요?,전문가 시스템의 구조는 지식 공학자가 지식을 표현하는 방법과 컴퓨터 기반 시스템의 지원을 통해 지능적 의사 결정을 수행하는 방법에 대한 이해를 반영합니다.
역방향 체이닝이란 무엇인가요?,역방향 체인은 목표에서 시작하여 추론 규칙을 통해 목표를 지원하는 필요한 사실을 찾기 위해 거꾸로 작업합니다.
역방향 연쇄 추론의 연구 전략은 무엇인가요?,역방향 연역 추론은 깊이 우선 탐색 전략을 적용합니다.
역방향 연쇄는 무엇에 적용되나요?,"""진단에 적합합니다."""
전진 체이닝이란 무엇인가요?,전방 연쇄는 알려진 사실에서 시작하여 추론 규칙을 적용하여 목표에 도달할 때까지 더 많은 데이터를 추출합니다.
전진 연결 추론의 연구 전략은 무엇인가요?,전방 체인 이론은 너비 우선 탐색 전략을 적용합니다.
전방 연쇄는 무엇에 적용됩니까?,"""계획에 적합합니다."""
지식 공학이란 무엇인가요?,"전문가 시스템을 구축하는 과정은 지식 공학이라고 하며, 이는 지식 공학자에 의해 수행됩니다."
지식 엔지니어란 무엇인가요?,"지식 엔지니어는 컴퓨터 과학 및 인공지능 분야의 배경을 가진 사람으로, 전문가 시스템을 구축하는 방법을 알고 있습니다."
지식 공학이란 무엇인가요?,지식 공학은 인간 전문가 또는 다른 소스에서 지식을 얻는 과정을 의미합니다.
"""오목 시스템이란 무엇인가요?""",오목 시스템은 일반적으로 보드 게임으로 시행됩니다.
검색이란 무엇인가요?,탐색은 대안을 탐구하는 것입니다.
"""검색의 응용 분야는 무엇인가요?""","""경로 찾기"""
카테고리란 무엇인가요?,"""증분 공식화"""
점진적 형식화란 무엇인가요?,"""이 문제는 상태 설명을 확장하는 연산자를 포함합니다."""
완전 상태 표현법이란 무엇인가요?,주들은 서로 독립적입니다.
장난감 문제란 무엇인가요?,장난감 문제는 다양한 문제 해결 방법을 설명하거나 연습하기 위해 고안된 것입니다.
실제 문제란 무엇인가요?,실제 문제는 사람들이 실제로 관심을 가지는 해결책이 있는 문제입니다.
검색 조건은 무엇인가요?,"""Observable"" in Korean is ""관찰 가능""."
관찰할 수 있는 것은 무엇인가요?,당신은 항상 현재의 상황을 잘 알고 있습니다.
"""디스크리트란 무엇인가요?""","""임의의 상태가 주어지면"""
무엇이 알려져 있습니까?,에이전트는 해당 행동을 수행함으로써 도달하는 주(states)를 알고 있습니다.
결정론적이란 무엇인가요?,각 행동은 정확히 하나의 결과를 가집니다.
검색 전략의 장점은 무엇인가요?,"""완전성"""
검색을 어떻게 설정할까요?,"""States"" in Korean is ""주들""."
"""주란 무엇인가요?""",검색을 위한 기본 단위.
초기 상태란 무엇인가요?,대리인이 시작하는 상태.
행동이란 무엇인가요?,현재 상태에서 수행할 수 있는 작업입니다.
전이 모델이란 무엇인가요?,행동의 결과.
목표 테스트란 무엇인가요?,어떤 것이 상태가 목표 상태인지 여부를 결정합니다.
경로 비용이란 무엇인가요?,각 경로에 숫자 비용을 할당하십시오.
검색 문제를 해결하는 방법은 무엇인가요?,"""해결책은 행동 순서입니다."""
그래프는 무엇으로 구성되어 있나요?,노드와 호.
문제 공간은 무엇으로 구성되어 있습니까?,"""상태 공간"""
정보가 부족한 검색이란 무엇인가요?,검색하는 동안 어느 비목표 상태가 다른 상태보다 더 나은지 전혀 알 수 없습니다.
너비 우선 탐색이란 무엇인가요?,가장 얕은 미확장 노드를 확장합니다.
프린지란 무엇인가요?,"""탐색을 기다리는 대기 중인 노드들"""
너비 우선 탐색은 해결책이 존재할 경우 항상 해결책을 찾나요?,네.
너비 우선 탐색이 항상 최선의 (최소 비용) 해결책을 찾나요?,"""네"""
너비 우선 탐색은 얼마나 걸릴까요?,1 + b + b^2 + b^3 + ... + b^d (해결까지의 노드)
깊이 우선 탐색이란 무엇인가요?,가장 깊은 확장되지 않은 노드를 확장하십시오.
깊이 우선 탐색은 해결책이 존재할 경우 항상 해결책을 찾나요?,아니요: 무한 깊이 공간에서 실패합니다.
깊이 우선 탐색에는 얼마나 시간이 걸리나요?,O(b^m)에서 m=최대 깊이
깊이 우선 탐색이 항상 최상의(최소 비용) 솔루션을 찾는가요?,아니요 (먼저 최적이 아닌 목표를 찾을 수 있습니다).
반복 심화 탐색이란 무엇인가요?,깊이 제한을 늘리며 여러 번 DFS 검색을 실행합니다.
반복적 심화 탐색은 해결책이 존재할 경우 항상 해결책을 찾을 수 있나요?,네.
반복적 심화 탐색은 항상 최적의 (최소 비용) 해를 찾습니까?,경로 비용이 깊이에 대한 비감소 함수일 경우에만.
반복적인 깊이 우선 탐색은 얼마나 걸릴까요?,"b + (b + b^2) + .......(b + ....b^d) = O(b^d). 

This mathematical expression does not require translation since it consists of mathematical symbols and letters. However, if you need the text surrounding the expression or additional context translated, please provide that!"
균일 비용 탐색이란 무엇인가요?,최소 비용 g(n)을 가진 변두리의 노드를 항상 확장하십시오.
균일 비용 탐색은 해결책이 존재할 경우 항상 그것을 찾나요?,네.
균일비용 탐색이 항상 최상의 (최소 비용) 해답을 찾습니까?,"""네"""
균일 비용 탐색은 얼마나 걸릴까요?,경로 비용이 최적 솔루션의 비용 이하인 노드들.
균일 비용 탐색이 실행을 완료하는 데 얼마나 많은 공간을 소모합니까?,최적 솔루션의 비용 이하인 경로 비용을 가진 노드들.
반복적 심화 탐색을 완료하는 데 얼마나 많은 공간이 필요합니까?,"O(bd) in Korean can be written as ""O(bd)"" as it is a mathematical notation and remains the same in both languages. If you need a description or explanation of what it means in Korean, please let me know!"
깊이 우선 탐색을 완료하는 데 얼마나 많은 공간이 필요한가요?,"""O(bm)"" in Korean can be translated simply as ""O(bm)"" since it is a mathematical notation and does not require translation. If you're looking for a specific context or explanation, feel free to provide more details!"
너비 우선 탐색을 완료하는 데 필요한 공간은 얼마나 됩니까?,"""O(b^d) (모든 노드를 메모리에 유지)"""
